"BECLOMETHASONE , 口鼻噴霧/吸入劑 , 50.00 MCG","163,724"
"CARBENOXOLONE , 口內膏 , 20.00  MG/GM , 5.00 GM","1,985"
"CHLORHEXIDINE , 外用液劑 , 2.00  MG/ML , 200.00 ML","293,847"
"CHLOROPHYLL SODIUM COPPER , 一般錠劑膠囊劑 , 25.00 MG","51,796"
"DEXAMETHASONE , 外用軟膏劑 , 1.00  MG/GM , 8.00 GM",1
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 1.00 GM","43,511"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 2.00 GM","55,851"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 5.00 GM","177,148"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 8.00 GM",206
"EPINEPHRINE , 外用液劑 , 1.00  MG/ML , 1.00 ML","175,903"
"TRIAMCINOLONE , 外用錠劑 , 25.00 MCG","13,901"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 1.00 GM","109,064"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.00 GM","33,163"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.50 GM","51,025"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 5.00 GM","274,414"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 6.00 GM","6,835"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 10.00 GM",167
"SCOPOLIA EXTRACT 3MG + ALUMINUM HYDROXIDE DRIED GEL 50MG + CALCIUMCARBONATE 50MG + CHLOROPHYLL SODIUM COPPER 1MG + VITAMIN U(METHYLMETHIONINE SULFONIUM CHLORIDE) 25MG + ALUMINUM SILICATE 100MG, 一般錠劑膠囊劑","56,895"
"ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) , 一般錠劑膠囊劑 , 100.00 MG","34,136"
"ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG,一般錠劑膠囊劑,","82,369,303"
"ALUMINUM DIHYDROXYALLANTOINATE 100MG/GM + ALUMINUM MAGNESIUM SILICATE100MG/GM, 口服顆粒劑, 1.00GM",377
"ALUMINUM HYDROXIDE DRIED GEL 42.65MG + BENACTYZINE METHOBROMIDE 5MG +MAGNESIUM ALUMINUM HYDROXIDE CO-DRIED GEL 175.95MG + MUCIN GASTRIC 5MG, 一般錠劑膠囊劑,","10,652,560"
"ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) , 一般錠劑膠囊劑 , 100.00 MG","17,186,984"
"DIMETHICONE 4MG + ALUMINUM HYDROXIDE 230MG, 一般錠劑膠囊劑,","133,703"
"ALUMINUM HYDROXIDE 36MG/ML + MAGNESIUM HYDROXIDE 30MG/ML, 內服液劑,200.00ML","6,664"
"ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG, 一般錠劑膠囊劑,","120,682"
