"BECLOMETHASONE , 口鼻噴霧/吸入劑 , 50.00 MCG","261,626"
"CARBENOXOLONE , 口內膏 , 20.00  MG/GM , 5.00 GM","8,328"
"CHLORHEXIDINE , 外用液劑 , 2.00  MG/ML , 200.00 ML","569,158"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 1.00 GM","120,287"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 2.00 GM","60,971"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 5.00 GM","312,845"
"DEXAMETHASONE , 口內膏 , 1.00  MG/GM , 8.00 GM","1,157"
"EPINEPHRINE , 外用液劑 , 1.00  MG/ML , 1.00 ML","795,526"
"TRIAMCINOLONE , 外用錠劑 , 25.00 MCG","12,140"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 1.00 GM","123,803"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.00 GM",313
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 3.50 GM","63,769"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 5.00 GM","234,779"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 6.00 GM","207,835"
"TRIAMCINOLONE , 口內膏 , 1.00  MG/GM , 10.00 GM",440
"ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) , 一般錠劑膠囊劑 , 100.00 MG",915
"ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG,一般錠劑膠囊劑,","92,106,519"
"ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA) , 一般錠劑膠囊劑 , 100.00 MG","10,532,753"
"ALUMINUM HYDROXIDE 30MG + MAGNESIUM CARBONATE 40MG + ALGINIC ACID 200MG,一般錠劑膠囊劑,","34,637,908"
"ALUMINUM HYDROXIDE 400MG + ALUMINUM SILICATE 100MG + MAGNESIUM OXIDE 140MG+ HISTIDINE 20MG, 一般錠劑膠囊劑,","1,574"
"PHENOBARBITAL 8.1MG + HOMATROPINE METHYLBROMIDE 1.8mg + ALUMINUMHYDROXIDE DRIED GEL 243MG + MAGNESIUM TRISILICATE&nbsp;81MG, 一般錠劑膠囊劑","18,254"
"ALUMINUM HYDROXIDE 200MG + ALUMINUM SILICATE 50MG + MAGNESIUM OXIDE 60MG +HISTIDINE 10MG+ ETHYL AMINOBENZOATE 5MG, 一般錠劑膠囊劑,","1,005,151"
"ALUMINUM HYDROXIDE DRIED GEL 150MG+ALUMINUM SILICATE 225MG + SCOPOLIAEXTRACT 5MG + GLYCINE 60MG + BENZOCAINE 25MG + CHLOROPHYLL SODIUM COPPER5MG+NIACINAMIDE 5MG+PANTOTHENATE CALCIUM 10MG+TAURINE 25MG+GLYCYRRHIZAEXTRACT 5MG, 一般錠劑膠囊劑",709
"ALUMINUM HYDROXIDE , 一般錠劑膠囊劑 , 300.00 MG","27,816"
"ALUMINUM MAGNESIUM SILICATE 147MG + CHLOROPHYLL SODIUM COPPER 0.5MG +GLYCINE 10MG + GLYCYRRHIZIC ACID 35MG + MAGNESIUM CARBONAT 10MG +PIPERIDOLATE 1.5MG, 一般錠劑膠囊劑,","304,964"
"ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE, 一般錠劑膠囊劑,","121,858"
"ALUMINUM SILICATE 845MG + GLYCYRRHIZIC ACID 150MG, 口服顆粒劑,","31,306"
"AZULENE , 一般錠劑膠囊劑 , 2.00 MG","9,763,646"
"AZULENE , 一般錠劑膠囊劑 , 20.00 MG",18
"AZULENE , 口服顆粒劑 , 10.00 MG","2,283"
"GUAIAZULENE SODIUM SULFONATE 2MG+SODIUM BICARBONATE 20MG,一般錠劑膠囊劑","3,813"
"BENACTYZINE 10MG + ALUMINUM HYDROXIDE 100MG + CHLOROPHYLLIN 1MG, 一般錠劑膠囊劑,","7,681"
"BISMUTH SUBCARBONATE , 一般錠劑膠囊劑 , 324.00 MG","3,595,356"
"BISMUTH SUBCITRATE or BISMUTH SUBNITRATE , 一般錠劑膠囊劑 , 300.00 MG","224,949"
"BUTINOLIN 2MG + ALUMINUM HYDROXIDE 200MG + CALCIUM CARBONATE 300MG, 一般錠劑膠囊劑,","3,514,045"
"BUTINOLIN 2MG + BISMUTH SUBNITRATE 150MG + CALCIUM CARBONATE 600MG, 一般錠劑膠囊劑,","726,411"
"CARBENOXOLONE , 一般錠劑膠囊劑 , 50.00 MG","1,311"
"CIMETIDINE , 一般錠劑膠囊劑 , 200.00 MG","47,949,200"
"CIMETIDINE , 一般錠劑膠囊劑 , 300.00 MG","32,044,348"
"CIMETIDINE , 一般錠劑膠囊劑 , 400.00 MG","10,569,979"
"CIMETIDINE , 一般錠劑膠囊劑 , 800.00 MG","4,623"
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 1.00 ML",139
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 10.00 ML",90
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 15.00 ML","87,822"
"CIMETIDINE , 口服液劑 , 20.00  MG/ML , 20.00 ML",526
"CIMETIDINE , 注射劑 , 200.00 MG","177,452"
"CIMETIDINE , 注射劑 , 300.00 MG","59,575"
"DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG, 一般錠劑膠囊劑,","587,698"
"DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG, 一般錠劑膠囊劑,","189,537"
"DICYCLOMINE 5MG/GM + ALUMINUM HYDROXIDE 400MG/GM + MAGNESIUM OXIDE200MG/GM, 口服顆粒劑, 100.00GM",156
"DICYCLOMINE 0.5MG/ML + DIMETHICONE 4MG/ML + ALUMINUM HYDROXIDE 40MG/ML +MAGNESIUM HYDROXIDE 20MG/ML, 口服液劑, 1.00ML","45,165"
